player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Christian Kirk,WR,2.0,37.77,True,True,not a confirmed keeper or college-rights hold
Rashod Bateman,WR,2.0,79.23,True,True,not a confirmed keeper or college-rights hold
Tre Tucker,WR,2.0,95.11,True,True,not a confirmed keeper or college-rights hold
Baker Mayfield,QB,2.0,243.4,True,True,not a confirmed keeper or college-rights hold
Bo Nix,QB,2.0,262.52,True,True,not a confirmed keeper or college-rights hold
Kyler Murray,QB,2.0,255.34,True,True,not a confirmed keeper or college-rights hold
Matthew Stafford,QB,1.0,250.22,True,True,not a confirmed keeper or college-rights hold
Pat Bryant,WR,1.0,79.5,True,True,not a confirmed keeper or college-rights hold
Malik Davis,RB,1.0,30.01,True,True,not a confirmed keeper or college-rights hold
Devin Neal,RB,1.0,15.95,True,True,not a confirmed keeper or college-rights hold
Chris Brooks,RB,1.0,38.97,True,True,not a confirmed keeper or college-rights hold
Cedric Tillman,WR,1.0,19.7,True,True,not a confirmed keeper or college-rights hold
Najee Harris,RB,1.0,41.47,True,True,not a confirmed keeper or college-rights hold
Isaiah Davis,RB,1.0,45.95,True,True,not a confirmed keeper or college-rights hold
LeQuint Allen Jr.,RB,1.0,38.64,True,True,not a confirmed keeper or college-rights hold
Demond Claiborne,RB,1.0,32.59,True,True,not a confirmed keeper or college-rights hold
Sean Tucker,RB,1.0,48.94,True,True,not a confirmed keeper or college-rights hold
Jalen Nailor,WR,1.0,94.21,True,True,not a confirmed keeper or college-rights hold
Kendre Miller,RB,1.0,19.51,True,True,not a confirmed keeper or college-rights hold
George Holani,RB,1.0,36.01,True,True,not a confirmed keeper or college-rights hold
Seth McGowan,RB,1.0,34.66,True,True,not a confirmed keeper or college-rights hold
Jaylen Wright,RB,1.0,47.44,True,True,not a confirmed keeper or college-rights hold
DJ Giddens,RB,1.0,33.72,True,True,not a confirmed keeper or college-rights hold
Kaelon Black,RB,1.0,47.43,True,True,not a confirmed keeper or college-rights hold
Tyler Shough,QB,1.0,258.88,True,True,not a confirmed keeper or college-rights hold
Emanuel Wilson,RB,1.0,38.92,True,True,not a confirmed keeper or college-rights hold
Malik Willis,QB,1.0,253.88,True,True,not a confirmed keeper or college-rights hold
Emari Demercado,RB,1.0,26.21,True,True,not a confirmed keeper or college-rights hold
Brashard Smith,RB,1.0,31.53,True,True,not a confirmed keeper or college-rights hold
Jalen McMillan,WR,1.0,92.48,True,True,not a confirmed keeper or college-rights hold
Devin Singletary,RB,1.0,24.69,True,True,not a confirmed keeper or college-rights hold
Jameis Winston,QB,0.0,10.26,True,True,not a confirmed keeper or college-rights hold
Ashton Dulin,WR,0.0,25.13,True,True,not a confirmed keeper or college-rights hold
Luke Musgrave,TE,0.0,24.28,True,True,not a confirmed keeper or college-rights hold
Tommy Tremble,TE,0.0,27.95,True,True,not a confirmed keeper or college-rights hold
Marcus Mariota,QB,0.0,17.15,True,True,not a confirmed keeper or college-rights hold
Joe Flacco,QB,0.0,28.58,True,True,not a confirmed keeper or college-rights hold
Tutu Atwell,WR,0.0,22.9,True,True,not a confirmed keeper or college-rights hold
John Metchie III,WR,0.0,27.49,True,True,not a confirmed keeper or college-rights hold
Nick Westbrook-Ikhine,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Phil Mafah,RB,0.0,14.11,True,True,not a confirmed keeper or college-rights hold
J'Mari Taylor,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Demarcus Robinson,WR,0.0,28.84,True,True,not a confirmed keeper or college-rights hold
CJ Daniels,WR,0.0,23.65,True,True,not a confirmed keeper or college-rights hold
Kevin Coleman Jr.,WR,0.0,53.55,True,True,not a confirmed keeper or college-rights hold
Raheim Sanders,RB,0.0,16.41,True,True,not a confirmed keeper or college-rights hold
Dont'e Thornton Jr.,WR,0.0,0.0,True,True,not a confirmed keeper or college-rights hold
Zavion Thomas,WR,0.0,32.09,True,True,not a confirmed keeper or college-rights hold
Colbie Young,WR,0.0,33.1,True,True,not a confirmed keeper or college-rights hold
Noah Fant,TE,0.0,29.15,True,True,not a confirmed keeper or college-rights hold
Roschon Johnson,RB,0.0,12.5,True,True,not a confirmed keeper or college-rights hold
Max Klare,TE,0.0,16.2,True,True,not a confirmed keeper or college-rights hold
