player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Tyler Conklin,TE,0.0,2.97,True,True,not a confirmed keeper or college-rights hold
Luke Schoonmaker,TE,0.0,24.15,True,True,not a confirmed keeper or college-rights hold
Jaret Patterson,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Josh Cameron,WR,0.0,6.79,True,True,not a confirmed keeper or college-rights hold
Velus Jones Jr.,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Kyle Williams,WR,0.0,37.34,True,True,not a confirmed keeper or college-rights hold
Noah Whittington,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Cash Jones,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Michael Burton,RB,0.0,14.46,True,True,not a confirmed keeper or college-rights hold
Durham Smythe,TE,0.0,18.49,True,True,not a confirmed keeper or college-rights hold
Tyson Bagent,QB,0.0,11.07,True,True,not a confirmed keeper or college-rights hold
Nate Boerkircher,TE,0.0,29.93,True,True,not a confirmed keeper or college-rights hold
Jeremy Ruckert,TE,0.0,32.28,True,True,not a confirmed keeper or college-rights hold
Jackson Hawes,TE,0.0,26.45,True,True,not a confirmed keeper or college-rights hold
Kaleb Johnson,RB,0.0,7.45,True,True,not a confirmed keeper or college-rights hold
Ollie Gordon,RB,0.0,32.75,True,True,not a confirmed keeper or college-rights hold
Kenneth Gainwell,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Mason Taylor,TE,0.0,58.65,True,True,not a confirmed keeper or college-rights hold
Malik Washington,WR,0.0,92.28,True,True,not a confirmed keeper or college-rights hold
Terrance Ferguson,TE,0.0,82.7,True,True,not a confirmed keeper or college-rights hold
Jaylin Noel,WR,0.0,77.12,True,True,not a confirmed keeper or college-rights hold
Jalen Reagor,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Xavier Restrepo,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
