player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Mason Taylor,TE,NYJ,58.65,,,,,,32.9,298.0,2.1,0.1,0.0
Eli Stowers,TE,PHI,48.79,,,,5.9,,23.2,246.0,2.0,0.0,0.0
Elijah Arroyo,TE,SEA,52.8,,,,,,25.4,283.0,2.0,0.1,0.0
Mike Gesicki,TE,CIN,71.5,,,,,,34.8,373.0,2.8,0.1,0.1
Erick All Jr.,TE,CIN,52.0,,,,,,27.8,279.0,1.7,0.1,0.1
Brenen Thompson,WR,LAC,36.51,,,,1.6,0.0,16.7,214.0,1.1,0.0,0.0
Carson Beck,QB,ARI,51.46,814.0,5.2,3.1,31.0,0.4,,,,0.8,0.2
Andrei Iosivas,WR,CIN,65.06,,,,9.1,0.0,28.1,359.0,2.4,0.1,0.0
Devin Neal,RB,NO,15.95,,,,73.3,0.4,5.7,37.7,0.1,0.5,
Elic Ayomanor,WR,TEN,45.4,,,,,,19.4,249.0,1.8,0.0,0.0
Oscar Delp,TE,NO,34.7,,,,,,18.2,190.0,1.1,0.0,0.0
Luke McCaffrey,WR,WAS,24.25,,,,,,10.5,142.0,0.8,0.0,0.0
Chimere Dike,WR,TEN,52.35,,,,27.0,0.3,23.5,239.0,2.2,0.6,0.1
Emari Demercado,RB,KC,26.21,,,,98.6,0.6,9.0,66.5,0.3,0.1,0.0
Christian Kirk,WR,SF,37.77,,,,4.2,,18.1,217.0,1.1,0.0,0.0
Ty Johnson,RB,BUF,48.65,,,,139.0,1.2,15.7,143.0,0.9,0.1,0.1
Roschon Johnson,RB,CHI,12.5,,,,64.5,0.4,2.6,17.5,0.1,0.0,0.0
Trey Benson,RB,ARI,11.03,,,,41.1,0.2,3.4,28.2,0.2,0.0,0.0
Trevor Etienne,RB,CAR,27.98,,,,132.0,0.8,8.1,49.3,0.2,0.1,0.0
Theo Johnson,TE,NYG,56.7,,,,,,27.6,309.0,2.0,0.1,0.1
Raheim Sanders,RB,CLE,16.41,,,,75.1,0.5,4.5,32.5,0.1,0.1,0.0
LeQuint Allen Jr.,RB,JAX,38.64,,,,92.4,0.6,16.8,120.0,0.9,0.1,0.1
Devin Singletary,RB,NYG,24.69,,,,107.0,0.8,7.1,52.4,0.1,0.1,0.0
Jawhar Jordan,RB,HOU,21.18,,,,113.0,0.7,4.4,30.8,0.1,0.1,0.0
Phil Mafah,RB,DAL,14.11,,,,84.1,0.5,2.3,17.5,0.0,0.1,0.0
Marvin Mims Jr.,WR,DEN,47.9,,,,44.0,0.1,23.0,236.0,1.5,0.6,0.0
Isaiah Bond,WR,CLE,48.37,,,,13.7,0.0,19.4,271.0,1.7,0.0,0.0
Colbie Young,WR,CIN,33.1,,,,,,15.8,192.0,1.0,0.0,0.0
Kendrick Bourne,WR,ARI,56.62,,,,1.2,,26.8,337.0,1.6,0.1,0.0
CJ Daniels,WR,LAR,23.65,,,,2.0,,11.7,134.0,0.7,0.0,0.0
Kyle Williams,WR,NE,37.34,,,,7.4,0.0,14.2,217.0,1.3,0.0,0.0
Savion Williams,WR,GB,38.77,,,,46.2,0.1,15.7,169.0,1.5,0.2,0.1
Zavion Thomas,WR,CHI,32.09,,,,7.9,0.0,14.2,170.0,1.2,0.0,0.0
Mack Hollins,WR,NE,34.99,,,,2.4,0.0,15.9,196.0,1.2,0.0,0.0
Roman Wilson,WR,PIT,42.4,,,,,,18.4,244.0,1.5,0.1,0.0
Hollywood Brown,WR,PHI,41.95,,,,,,19.1,234.0,1.5,0.0,0.0
Brashard Smith,RB,KC,31.53,,,,94.2,1.0,9.7,76.6,0.6,0.1,0.1
Tyler Goodson,RB,ATL,11.22,,,,49.7,0.4,3.1,17.0,0.1,0.0,0.0
Audric Estime,RB,NO,12.38,,,,50.0,0.4,3.3,27.3,0.1,0.0,0.0
Justin Fields,QB,KC,40.19,510.0,3.6,2.0,75.9,0.5,,,,0.7,0.1
Tyler Higbee,TE,LAR,33.6,,,,,,17.2,180.0,1.2,0.1,0.0
Dawson Knox,TE,BUF,58.6,,,,,,26.0,294.0,2.7,0.1,0.1
Carson Wentz,QB,MIN,12.18,185.0,1.1,0.7,11.8,0.1,,,,0.0,0.0
Noah Fant,TE,NO,29.15,,,,,,16.7,156.0,0.9,0.1,0.0
Michael Carter,RB,TEN,6.54,,,,22.3,0.0,2.9,22.6,0.1,0.0,
Cole Kmet,TE,CHI,53.05,,,,,,26.5,280.0,2.0,0.1,0.0
