player,position,nfl_team,auction_eligible,public_rank,public_tier,base_value,fallback_source,fallback_points,fallback_confidence,classification,identity_issue,expected_draft_probability_HEURISTIC
Jared Wiley,TE,KC,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Eli Heidenreich,RB,PIT,True,360,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Hunter Luepke,RB,DAL,True,433,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Connor Heyward,TE,LV,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Will Mallory,TE,IND,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Odell Beckham Jr.,WR,NYG,True,432,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Kylen Granson,TE,TEN,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Durham Smythe,TE,BAL,True,505,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jimmy Horn Jr.,WR,CAR,True,480,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jordan Whittington,WR,LAR,True,413,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Rasheen Ali,RB,BAL,True,415,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Payne Durham,TE,TB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Konata Mumpfield,WR,LAR,True,339,13,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Max Klare,TE,LAR,True,350,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Grant Calcaterra,TE,PHI,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Seydou Traore,TE,MIA,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Barion Brown,WR,NO,True,414,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jalen Royals,WR,KC,False,341,13,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Brevyn Spann-Ford,TE,DAL,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Tanner Koziol,TE,JAC,True,470,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
KeAndre Lambert-Smith,WR,LAC,True,509,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Sam Roush,TE,CHI,True,500,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Michael Burton,RB,CLE,True,504,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Josh Whyle,TE,GB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Laquon Treadwell,WR,IND,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Bo Melton,WR,GB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Josh Cuevas,TE,BAL,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Ian Thomas,TE,LV,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Ko Kieft,TE,TB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Andrew Beck,RB,NYJ,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Alec Ingold,RB,LAC,True,448,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Drew Ogletree,TE,IND,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Ameer Abdullah,RB,JAC,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Blake Whiteheart,TE,CLE,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Tay Martin,WR,DET,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Isaac Guerendo,RB,SF,True,314,13,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Malachi Corley,WR,CLE,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Chris Manhertz,TE,NYG,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Kene Nwangwu,RB,NYJ,True,498,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Derius Davis,WR,LAC,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Adam Prentice,RB,DEN,True,472,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Dohnte Meyers,WR,CIN,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Xavier Smith,WR,LAR,True,475,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Efton Chism III,WR,NE,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Jacob Cowing,WR,SF,True,476,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Max Bredeson,RB,MIN,True,469,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Kaleb Johnson,RB,GB,True,305,13,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Josh Cameron,WR,JAC,True,514,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Tai Felton,WR,MIN,True,442,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jonathan Mingo,WR,DAL,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Luke Farrell,TE,SF,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Eric Saubert,TE,SEA,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Darius Cooper,WR,PHI,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Johnny Mundt,TE,PHI,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Reggie Virgil,WR,ARI,True,499,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Dareke Young,WR,LV,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Carsen Ryan,TE,CLE,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Brycen Tremayne,WR,CAR,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Riley Nowakowski,TE,PIT,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Reggie Gilliam,RB,NE,True,450,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Sione Vaki,RB,DET,True,416,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Patrick Ricard,RB,NYG,True,461,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Arian Smith,WR,NYJ,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Ben Skowronek,WR,PIT,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
British Brooks,RB,HOU,True,478,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Kameron Johnson,WR,TB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
