"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"136",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+8","+1.0","56% (9/16)"
"137",9,"Chris Rodriguez Jr.",JAC,"RB45","7","3 out of 5","4 out of 5","4 out of 5 stars","-1","+1.8","58% (7/12)"
"138",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+47","-0.3","56% (9/16)"
"139",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+39","-0.9","38% (5/13)"
"140",9,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","4 out of 5","2 out of 5 stars","-9","-0.7","46% (7/15)"
"141",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+36","-","-"
"142",9,"Dylan Sampson",CLE,"RB46","11","4 out of 5","2 out of 5","3 out of 5 stars","+51","+0.5","42% (6/14)"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","0","-0.4","41% (7/17)"
"144",9,"Keaton Mitchell",LAC,"RB47","7","4 out of 5","3 out of 5","3 out of 5 stars","+13","+0.4","50% (6/12)"
"145",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+21","-","-"
"146",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+80","-0.6","50% (8/16)"
"147",9,"Zach Charbonnet",SEA,"RB48","11","3 out of 5","4 out of 5","4 out of 5 stars","-7","+1.9","60% (9/15)"
"148",9,"Jonah Coleman",DEN,"RB49","10","4 out of 5","4 out of 5","2 out of 5 stars","+14","-","-"
"149",9,"Brenton Strange",JAC,"TE17","7","4 out of 5","3 out of 5","3 out of 5 stars","+11","+0.2","54% (6/11)"
"150",9,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+32","+0.2","50% (8/16)"
"151",9,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+30","+0.9","56% (9/16)"
"152",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+22","+0.2","37% (6/16)"
"153",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-54","+2.2","62% (10/16)"
"154",9,"Tyrone Tracy Jr.",NYG,"RB50","8","2 out of 5","5 out of 5","4 out of 5 stars","+33","-0.5","35% (5/14)"
"155",9,"Hunter Henry",NE,"TE20","11","2 out of 5","4 out of 5","4 out of 5 stars","+1","+0.5","43% (7/16)"
"156",9,"Isiah Pacheco",DET,"RB51","6","3 out of 5","4 out of 5","5 out of 5 stars","-1","-1.9","30% (4/13)"
"157",9,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+74","0.0","28% (4/14)"
"158",9,"Alvin Kamara",NO,"RB52","8","3 out of 5","4 out of 5","3 out of 5 stars","-4","-4.1","18% (2/11)"
"159",10,"Tank Bigsby",PHI,"RB53","10","4 out of 5","4 out of 5","4 out of 5 stars","+11","+0.2","31% (5/16)"
"160",10,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+65","-0.4","40% (6/15)"
"161",10,"Jerry Jeudy",CLE,"WR61","11","1 out of 5","4 out of 5","3 out of 5 stars","+18","-2.2","18% (3/16)"
"162",10,"MarShawn Lloyd",GB,"RB54","11","4 out of 5","4 out of 5","4 out of 5 stars","-13","-","-"
"163",10,"Mike Washington Jr.",LV,"RB55","13","4 out of 5","4 out of 5","2 out of 5 stars","-21","-","-"
"164",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-51","0.0","56% (9/16)"
"165",10,"Jalen McMillan",TB,"WR62","10","4 out of 5","4 out of 5","4 out of 5 stars","+37","+5.0","100% (3/3)"
"166",10,"Jauan Jennings",MIN,"WR63","6","2 out of 5","4 out of 5","5 out of 5 stars","+35","+1.0","50% (7/14)"
"167",10,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+31","-1.2","50% (2/4)"
"168",10,"Los Angeles Rams",LAR,"DST3","11","-","-","2 out of 5 stars","-51","+0.8","56% (9/16)"
"169",10,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-46","+3.8","68% (11/16)"
"170",10,"Kayshon Boutte",HOU,"WR64","8","3 out of 5","4 out of 5","3 out of 5 stars","+47","+0.8","46% (6/13)"
"171",10,"Brian Robinson Jr.",ATL,"RB57","11","2 out of 5","4 out of 5","2 out of 5 stars","-10","-0.6","25% (4/16)"
"172",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","2 out of 5","2 out of 5 stars","+51","-0.4","37% (6/16)"
"173",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+80","-0.5","35% (5/14)"
"174",10,"Omar Cooper Jr.",NYJ,"WR67","13","4 out of 5","4 out of 5","4 out of 5 stars","+44","-","-"
"175",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-8","-1.1","40% (6/15)"
"176",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-37","+1.1","50% (8/16)"
"177",10,"Ryan Flournoy",DAL,"WR68","14","4 out of 5","3 out of 5","2 out of 5 stars","+87","+3.2","66% (8/12)"
"178",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-81","+3.1","68% (11/16)"
"179",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+61","+2.5","60% (9/15)"
"180",10,"Pat Bryant",DEN,"WR69","10","3 out of 5","4 out of 5","2 out of 5 stars","+98","+0.3","35% (5/14)"
"181",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-29","+0.7","50% (8/16)"
"182",10,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-29","+0.8","43% (7/16)"
"183",10,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","+36","-","-"
"184",10,"Malik Washington",MIA,"WR70","6","3 out of 5","4 out of 5","3 out of 5 stars","+32","-1.1","31% (5/16)"
"185",10,"Jalen Nailor",LV,"WR71","13","-","-","2 out of 5 stars","+12","-0.2","31% (5/16)"
"186",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-27","+1.2","37% (6/16)"
"187",10,"Ray Davis",BUF,"RB59","7","4 out of 5","4 out of 5","2 out of 5 stars","+33","-0.3","31% (5/16)"
"188",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-16","+1.9","81% (13/16)"
"189",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-59","+2.5","75% (12/16)"
"190",10,"Keenan Allen",IND,"WR72","13","3 out of 5","3 out of 5","4 out of 5 stars","-27","-1.4","25% (4/16)"
"191",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-16","-0.4","37% (6/16)"
"192",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-60","+4.8","92% (13/14)"
"193",10,"Travis Hunter",JAC,"WR73","7","3 out of 5","4 out of 5","4 out of 5 stars","+49","-","-"
"194",10,"AJ Barner",SEA,"TE22","11","4 out of 5","2 out of 5","3 out of 5 stars","+10","+1.7","50% (8/16)"
"195",10,"Calvin Ridley",TEN,"WR74","9","2 out of 5","4 out of 5","3 out of 5 stars","-3","-","-"
"196",10,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+38","+0.4","45% (5/11)"
"197",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-49","+2.0","68% (11/16)"
"198",10,"Terrance Ferguson",LAR,"TE23","11","4 out of 5","4 out of 5","4 out of 5 stars","+1","+1.4","42% (6/14)"
"199",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-41","-0.3","56% (9/16)"
"200",10,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-66","+4.5","87% (14/16)"
"201",11,"Jaylin Noel",HOU,"WR75","8","4 out of 5","3 out of 5","3 out of 5 stars","+70","+0.6","37% (6/16)"
"202",11,"Sean Tucker",TB,"RB61","10","3 out of 5","4 out of 5","2 out of 5 stars","+39","+1.4","43% (7/16)"
"203",11,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","+41","+0.8","42% (6/14)"
"204",11,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-21","+1.1","56% (9/16)"
"205",11,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-21","+3.1","69% (9/13)"
"206",11,"Gunnar Helm",TEN,"TE25","9","3 out of 5","4 out of 5","3 out of 5 stars","+64","+0.6","50% (8/16)"
"207",11,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","-1","-1.3","31% (5/16)"
"208",11,"Nicholas Singleton",TEN,"RB62","9","3 out of 5","4 out of 5","3 out of 5 stars","+58","-","-"
"209",11,"Aaron Rodgers",PIT,"QB28","9","2 out of 5","4 out of 5","2 out of 5 stars","+24","-0.5","53% (8/15)"
"210",11,"Geno Smith",NYJ,"QB29","13","2 out of 5","4 out of 5","4 out of 5 stars","+165","-1.5","40% (6/15)"
"211",11,"Kenyon Sadiq",NYJ,"TE26","13","4 out of 5","4 out of 5","4 out of 5 stars","-43","-","-"
"212",11,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-26","-2.0","31% (5/16)"
"213",11,"James Conner",ARI,"RB63","14","3 out of 5","4 out of 5","2 out of 5 stars","-2","-","-"
"214",11,"Tank Dell",HOU,"WR76","8","4 out of 5","4 out of 5","3 out of 5 stars","-41","-","-"
"215",11,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-51","+0.7","43% (7/16)"
"216",11,"Cairo Santos",CHI,"K9","10","3 out of 5","3 out of 5","0 out of 5 stars","-22","+2.0","71% (10/14)"
"217",11,"Cooper Kupp",SEA,"WR77","11","2 out of 5","4 out of 5","3 out of 5 stars","-10","-1.5","40% (6/15)"
