player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Jaylin Lane,WR,WAS,,,0.0,1.0,15.0,"not on a 2025 league roster -- FantasyPros 2026 rank #396, tier 14; anchor imputed via position_median_fallback"
Xavier Hutchinson,WR,HOU,33.06,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #330, tier 13"
Jalen Tolbert,WR,MIA,43.35,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #329, tier 13"
Charlie Kolar,TE,LAC,48.57,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #327, tier 13"
Elijah Arroyo,TE,SEA,52.8,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #326, tier 13"
Michael Mayer,TE,LV,58.35,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #324, tier 13"
Carson Beck,QB,ARI,51.46,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #332, tier 13"
Oscar Delp,TE,NO,34.7,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #322, tier 13"
Olamide Zaccheaus,WR,ATL,41.59,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #340, tier 13"
Konata Mumpfield,WR,LAR,,,0.0,1.0,5.0,"not on a 2025 league roster -- FantasyPros 2026 rank #339, tier 13; anchor imputed via tier_median_fallback"
Eli Raridon,TE,NE,33.55,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #338, tier 13"
Tez Johnson,WR,TB,33.4,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #337, tier 13"
Tyler Higbee,TE,LAR,33.6,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #336, tier 13"
Erick All Jr.,TE,CIN,52.0,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #334, tier 13"
Cole Kmet,TE,CHI,53.05,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #333, tier 13"
Tyreek Hill,WR,FA,,,0.0,1.0,5.0,"not on a 2025 league roster -- FantasyPros 2026 rank #323, tier 13; anchor imputed via tier_median_fallback"
Jordan Watkins,WR,SF,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #473, tier 15; anchor imputed via tier_median_fallback"
Adam Prentice,RB,DEN,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #472, tier 15; anchor imputed via tier_median_fallback"
Tyler Lockett,WR,LV,22.8,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #471, tier 15"
Tanner Koziol,TE,JAC,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #470, tier 15; anchor imputed via tier_median_fallback"
Tyrod Taylor,QB,GB,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #488, tier 16; anchor imputed via position_median_fallback"
Trey Lance,QB,LAC,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #517, tier 16; anchor imputed via position_median_fallback"
Drew Allar,QB,PIT,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #483, tier 15; anchor imputed via position_median_fallback"
Lew Nichols III,RB,PIT,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #482, tier 15; anchor imputed via tier_median_fallback"
Justin Joly,TE,DEN,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #366, tier 14; anchor imputed via position_median_fallback"
Jimmy Horn Jr.,WR,CAR,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #480, tier 15; anchor imputed via tier_median_fallback"
Cade Stover,TE,HOU,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #479, tier 15; anchor imputed via tier_median_fallback"
British Brooks,RB,HOU,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #478, tier 15; anchor imputed via tier_median_fallback"
