seed,team,player,position,price,projected_points,is_starting_qb,is_starting_rb,is_starting_wr,is_starting_te,is_starting_flex,is_starter
0,Shane,Stefon Diggs,WR,3.3099999999999996,130.42,False,False,False,False,False,False
0,Shane,Dylan Sampson,RB,4.290611111111112,79.3,False,False,False,False,False,False
0,Shane,Mark Andrews,TE,4.476,128.18,False,False,False,True,False,True
0,Shane,Jajuan Jennings,WR,4.461333333333334,145.99444444444444,False,False,False,False,True,True
0,Travis,Jayden Reed,WR,26.0,143.93,False,False,False,False,True,True
0,Travis,Malik Nabers,WR,16.0,183.51,False,False,True,False,False,True
0,Travis,Woody Marks,RB,11.0,104.75,False,False,False,False,False,False
0,Travis,Rhamondre Stevenson,RB,42.0,157.55,False,True,False,False,False,True
0,Travis,Hunter Henry,TE,12.0,119.7,False,False,False,True,False,True
0,Travis,Tetairoa McMillan,WR,6.0,184.82,False,False,True,False,False,True
0,Travis,Kenny Gainwell,RB,253.0,136.45,False,True,False,False,False,True
0,Travis,Dak Prescott,QB,3.4466666666666668,278.54,True,False,False,False,False,True
0,Travis,KC Concepcion,WR,1.5499999999999998,118.36,False,False,False,False,True,True
0,Travis,Rashid Shaheed,WR,1.0,105.92,False,False,False,False,False,False
0,Travis,Joe Flacco,QB,1.0,28.58,False,False,False,False,False,False
0,Travis,Chris Rodriguez Jr,RB,1.0,110.29,False,False,False,False,True,True
0,Travis,Emari Demercado,RB,1.0,26.21,False,False,False,False,False,False
0,Travis,James Conner,RB,1.0,42.62,False,False,False,False,False,False
0,Travis,Jordyn Tyson,WR,1.0,94.75,False,False,False,False,False,False
1,Brad,Alec Pierce,WR,11.0,154.64,False,False,False,False,True,True
