seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
13,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,2296.92,113.82,2410.74,3083.99,22.93
13,Sam,CONFIRMED,15,1,True,False,True,,1570.41,80.49,1650.9,2045.3,7.57
13,Shane,PARTIALLY_CONFIRMED,15,3,True,False,False,MISSING_TE,0.0,0.0,0.0,2384.85,48.61
13,Travis,PARTIALLY_CONFIRMED,15,4,True,False,True,,1435.67,73.71,1509.38,2342.81,0.0
14,Brad,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2495.07,21.0
14,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1933.69,130.04,2063.73,2647.51,27.55
14,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,1734.9,88.89,1823.79,2271.69,2.35
14,Coby,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,1976.81,4.47
14,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,1873.89,115.92,1989.81,2542.67,0.0
14,James,PARTIALLY_CONFIRMED,15,3,True,False,True,,1604.76,93.38,1698.14,2443.36,3.56
14,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,1938.31,93.7,2032.01,2651.44,6.25
14,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,2314.71,134.64,2449.35,3226.88,38.83
14,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1556.15,69.11,1625.26,2304.19,11.59
14,Sam,CONFIRMED,15,3,True,False,True,,1567.25,68.34,1635.59,2275.2,0.0
14,Shane,PARTIALLY_CONFIRMED,15,4,True,False,False,MISSING_TE,0.0,0.0,0.0,2504.57,36.18
14,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1333.58,72.64,1406.22,1695.04,0.0
15,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1513.04,80.65,1593.69,1949.69,0.0
15,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1970.33,122.7,2093.03,2606.93,5.05
15,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1671.8,74.22,1746.02,2193.34,0.0
15,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1820.59,140.77,1961.36,2626.44,41.89
15,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,1905.01,123.52,2028.53,2471.56,0.0
15,James,PARTIALLY_CONFIRMED,15,3,True,False,True,,1580.91,111.3,1692.21,2278.07,8.7
15,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2247.63,132.4,2380.03,2936.0,19.82
15,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1619.21,85.1,1704.31,2213.81,0.04
15,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1528.55,87.28,1615.83,2319.7,2.17
15,Sam,CONFIRMED,15,2,True,False,True,,1522.16,66.71,1588.87,1870.02,0.0
15,Shane,PARTIALLY_CONFIRMED,15,4,True,False,True,,1417.06,65.03,1482.09,2000.62,0.0
15,Travis,PARTIALLY_CONFIRMED,15,2,True,False,True,,2118.38,146.28,2264.66,2943.06,26.68
16,Brad,PARTIALLY_CONFIRMED,15,3,True,False,True,,1553.86,72.51,1626.37,2230.61,0.0
16,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1961.78,127.87,2089.65,2738.91,3.34
16,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,1858.61,96.53,1955.14,2529.01,41.72
16,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1926.07,112.22,2038.29,2637.35,2.25
16,Evan,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,3177.28,2.69
16,James,PARTIALLY_CONFIRMED,15,3,True,False,True,,1561.35,93.38,1654.73,2287.93,0.0
16,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2030.95,60.65,2091.6,2462.68,0.0
16,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1538.67,130.24,1668.91,2376.45,10.09
16,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1561.59,75.92,1637.51,2272.09,0.0
16,Sam,CONFIRMED,15,2,True,False,True,,1605.26,87.97,1693.23,2073.17,0.0
16,Shane,PARTIALLY_CONFIRMED,15,5,True,False,True,,1354.54,50.99,1405.53,2290.86,0.0
16,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1477.74,65.93,1543.67,2015.63,0.17
17,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1538.16,102.68,1640.84,2160.97,0.0
