"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Austin Hooper","ATL","TE51","0.0","0.0","0.0","21.9","225.4","1.3","0.1","41.0"
"Eli Raridon","NE","TE52","0.0","0.0","0.0","20.7","214.6","1.7","0.6","40.8"
"Tommy Tremble","CAR","TE53","0.0","0.0","0.0","21.1","197.8","1.8","0.1","40.8"
"James Conner","ARI","RB72","32.5","108.5","1.0","14.0","106.5","1.0","0.0","40.5"
"Noah Gray","KC","TE54","0.0","0.0","0.0","21.0","211.4","1.5","0.1","40.4"
"Eli Stowers","PHI","TE55","0.0","0.0","0.0","20.9","214.9","1.4","0.6","39.1"
"Theo Wease Jr.","LAC","WR178","0.0","0.0","0.0","16.0","233.0","1.3","0.0","39.1"
"Kendrick Bourne","ARI","WR121","0.0","0.0","0.0","22.8","239.1","0.7","0.2","38.8"
"Dyami Brown","WAS","WR122","0.0","0.0","0.0","15.8","216.5","1.6","0.2","38.7"
"Elijah Arroyo","SEA","TE56","0.0","0.0","0.0","19.0","198.7","1.6","0.1","38.7"
"Isaiah Davis","NYJ","RB73","35.0","174.6","1.2","10.0","78.7","0.2","0.1","38.5"
"Treylon Burks","WAS","WR123","0.0","0.0","0.0","15.0","217.3","1.4","0.1","37.1"
"Kalif Raymond","CHI","WR124","4.5","26.8","0.2","19.4","187.5","0.9","0.2","36.9"
"Emmett Johnson","KC","RB74","46.0","192.0","1.5","5.2","41.2","0.2","0.1","35.7"
"Davis Allen","LAR","TE57","0.0","0.0","0.0","16.9","157.2","1.9","0.0","35.3"
"Adam Randall","BAL","RB75","31.0","169.5","1.0","6.5","70.5","0.5","0.5","35.3"
"LeQuint Allen Jr.","JAC","RB76","31.8","125.0","0.6","14.7","95.0","0.4","0.1","35.2"
"Ja'Tavion Sanders","CAR","TE58","0.0","0.0","0.0","22.2","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","TE59","0.0","0.0","0.0","21.9","201.5","0.8","0.6","35.0"
"Marlin Klein","HOU","TE60","0.0","0.0","0.0","19.5","194.4","1.1","0.5","34.8"
"Jacob Saylors","DET","RB77","39.8","178.1","1.5","5.3","44.1","0.2","0.1","34.7"
"Savion Williams","GB","WR125","8.8","46.0","0.4","13.3","148.7","1.1","0.2","34.4"
"John Bates","WAS","TE61","0.0","0.0","0.0","17.0","169.2","1.6","0.6","33.8"
"Roschon Johnson","CHI","RB78","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"Ray Davis","BUF","RB79","32.4","138.3","1.1","7.8","60.0","0.4","0.2","32.1"
"Jeremy Ruckert","NYJ","TE62","0.0","0.0","0.0","19.7","146.3","1.3","0.0","32.0"
"Sean Tucker","TB","RB80","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"Seth McGowan","IND","RB81","32.7","140.1","1.5","5.3","42.2","0.2","0.1","30.8"
"Drew Sample","CIN","TE63","0.0","0.0","0.0","17.3","141.7","1.2","0.1","30.0"
"George Holani","SEA","RB82","36.9","141.1","1.3","6.0","46.1","0.1","0.1","30.0"
