match,seat,genome,player,position,price,projected_points,is_starting
29,James,gen15_elite0,Carnell Tate,WR,14.975321336183326,140.03,True
29,James,gen15_elite0,Stefon Diggs,WR,13.737340438175954,130.42,False
29,James,gen15_elite0,Jameson Williams,WR,12.370652173913044,156.45,True
29,James,gen15_elite0,AJ Brown,WR,11.52,194.9,True
29,James,gen15_elite0,Caleb Williams,QB,149.71,271.0,False
30,Jason,gen15_elite0,CeeDee Lamb,WR,46.0,224.28,True
30,Jason,gen15_elite0,Bijan Robinson,RB,26.0,295.2,True
30,Jason,gen15_elite0,Jahmyr Gibbs,RB,31.0,296.35,True
30,Jason,gen15_elite0,Theo Johnson,TE,1.0,56.7,True
30,Jason,gen15_elite0,Jaylen Waddle,WR,21.73965739130435,177.9,True
30,Jason,gen15_elite0,Tony Pollard,RB,19.700813043478263,143.2,False
30,Jason,gen15_elite0,Rachaad White,RB,19.0,127.05,False
30,Jason,gen15_elite0,Tee Higgins,WR,15.079999999999998,181.9,True
30,Jason,gen15_elite0,Davante Adams,WR,14.55648,161.35,False
30,Jason,gen15_elite0,Garrett Wilson,WR,14.383885652173912,163.37,False
30,Jason,gen15_elite0,Josh Allen,QB,14.388076521739132,328.82,True
30,Jason,gen15_elite0,Nick Chubb,RB,11.074894782608697,372.09599999999995,True
30,Jason,gen15_elite0,JK Dobbins,RB,11.068375652173913,134.15,False
30,Jason,gen15_elite0,Drake Maye,QB,11.941207391304347,296.32,False
30,Jason,gen15_elite0,Bill Croskey-Merritt,RB,143.07,459.64799999999997,True
31,Reid,gen15_elite0,Chris Olave,WR,41.0,194.65,True
31,Reid,gen15_elite0,Javonte Williams,RB,34.0,196.9,True
31,Reid,gen15_elite0,Jaylen Waddle,WR,14.526399999999999,177.9,True
31,Reid,gen15_elite0,Rashee Rice,WR,14.48719304347826,197.11,True
31,Reid,gen15_elite0,Aaron Jones Sr,RB,23.336619651724078,131.55,False
31,Reid,gen15_elite0,Kenny Gainwell,RB,18.680848695652173,136.45,True
31,Reid,gen15_elite0,Jordan Mason,RB,18.634998260869565,137.2,True
31,Reid,gen15_elite0,Rachaad White,RB,16.20922608695652,127.05,False
